Altium Designer Pick and Place Locations
C:\Users\james\Desktop\PCB\OWLSAT Flight Board\Imported mainboard\Outputs\Pick Place\Pick Place for mainboard.txt

========================================================================================================================
File Design Information:

Date:       24/09/22
Time:       18:46
Revision:   d7f5df122274ff6888badd91638c67a3a5b20321
Variant:    No variations
Units used: mil

Designator Comment                      Layer       Footprint                                   Center-X(mil) Center-Y(mil) Rotation Description                                                                                      
C35        100n                         TopLayer    CAPACITOR_1206                              7535.000      1235.000      0        ""                                                                                               
U23        AD5242BRZ1M                  TopLayer    SOIC127P600X175-16N                         7890.000      985.000       0        "Digital Potentiometer 1M Ohm 2 Circuit 256 Taps I²C Interface 16-SOIC"                         
U22        AD5142ABRUZ10-RL7            TopLayer    SOP65P640X120-16N                           8509.392      920.000       90       "Digital Potentiometer 10kOhm 256POS Non-Volatile Linear/Log 16-Pin TSSOP T/R"                   
U21        AD5142ABRUZ10-RL7            TopLayer    SOP65P640X120-16N                           8260.000      920.000       90       "Digital Potentiometer 10kOhm 256POS Non-Volatile Linear/Log 16-Pin TSSOP T/R"                   
U20        AD5142ABRUZ10-RL7            TopLayer    SOP65P640X120-16N                           8755.730      920.000       90       "Digital Potentiometer 10kOhm 256POS Non-Volatile Linear/Log 16-Pin TSSOP T/R"                   
U6         DRV8830DRCR                  TopLayer    FP-DRC0010J-MFG                             7855.000      2905.000      270      "IC MTRDRV BIPLR 2.75-6.8V 10VSON"                                                               
U5         DRV8830DRCR                  TopLayer    FP-DRC0010J-MFG                             7570.000      2910.000      270      "IC MTRDRV BIPLR 2.75-6.8V 10VSON"                                                               
H1         MountingHole_Pad             BottomLayer MOUNTINGHOLE_3.2MM_M3_DIN965_PAD            6774.039      3585.748      180      ""                                                                                               
JP12       Conn_01x03                   TopLayer    MOLEX-1X3_LOCK                              9980.000      3075.000      270      ""                                                                                               
JP11       Conn_01x03                   TopLayer    MOLEX-1X3_LOCK                              6700.300      3123.700      270      ""                                                                                               
J2         Conn_01x05                   TopLayer    PINHEADER_1X05_P2.54MM_VERTICAL             9955.000      1590.000      180      ""                                                                                               
H4         MountingHole_Pad             BottomLayer MOUNTINGHOLE_3.2MM_M3_DIN965_PAD            9799.646      211.743       180      ""                                                                                               
H3         MountingHole_Pad             BottomLayer MOUNTINGHOLE_3.2MM_M3_DIN965_PAD            6898.055      211.751       180      ""                                                                                               
H2         MountingHole_Pad             BottomLayer MOUNTINGHOLE_3.2MM_M3_DIN965_PAD            9923.622      3585.787      180      ""                                                                                               
P3         CMP-2000-05238-1             TopLayer    MOLEX-53261-0471_V                          9288.819      3617.087      180      "Male Header, Pitch 1.25 mm, 1 x 4 Position, Height 3.4 mm, -40 to 85 degC, RoHS, Tape and Reel" 
P2         CMP-2000-05238-1             TopLayer    MOLEX-53261-0471_V                          7594.213      3612.913      180      "Male Header, Pitch 1.25 mm, 1 x 4 Position, Height 3.4 mm, -40 to 85 degC, RoHS, Tape and Reel" 
P1         CMP-2000-05238-1             TopLayer    MOLEX-53261-0471_V                          7115.000      3610.000      180      "Male Header, Pitch 1.25 mm, 1 x 4 Position, Height 3.4 mm, -40 to 85 degC, RoHS, Tape and Reel" 
